gtd_id,date,country,city,perpetrator_group,fatalities,injured,target_type
202012300017,2020-12-30,Pakistan,Teri,Muslim extremists,0,0,Religious Figures/Institutions
202012300015,2020-12-30,Pakistan,Hyderabad,Unknown,0,1,Police
202012290005,2020-12-29,Pakistan,Surab,Unknown,0,14,"Military,Private Citizens & Property"
202012270002,2020-12-27,Pakistan,Bolan,Baloch Liberation Army (BLA),0,6,Military
202012260007,2020-12-26,Pakistan,Panjgur,Unknown,2,6,Private Citizens & Property
202012260006,2020-12-26,Pakistan,Shahrag,Baloch Liberation Army (BLA),7,6,Military
202012230011,2020-12-23,Pakistan,Mir Ali,Unknown,3,17,Military
202012230010,2020-12-23,Pakistan,Sibi,Unknown,0,0,Government (General)
202012220029,2020-12-22,Pakistan,Karachi,Sindhudesh Revolutionary Army (SRA),0,0,Private Citizens & Property
202012220024,2020-12-22,Pakistan,Rotcha,Unknown,0,0,Unknown
202012200018,2020-12-20,Pakistan,Peshawar,Unknown,1,0,Police
202012180027,2020-12-18,Pakistan,Unknown,Tehrik-i-Taliban Pakistan (TTP),1,0,Private Citizens & Property
202012180015,2020-12-18,Pakistan,Quetta,Unknown,0,0,Military
202012160029,2020-12-16,Pakistan,Upper Orakzai,Unknown,2,0,Business
202012160010,2020-12-15,Pakistan,Karachi,Sindhudesh Revolutionary Army (SRA),0,0,Private Citizens & Property
202012150013,2020-12-15,Pakistan,Karachi,Sindhudesh Revolutionary Army (SRA),0,4,"Educational Institution,Military"
202012130007,2020-12-13,Pakistan,Rawalpindi,Unknown,1,24,Private Citizens & Property
202012120029,2020-12-12,Pakistan,Wali Khan,Unknown,0,0,Transportation
202012080012,2020-12-08,Pakistan,Hoshab,Unknown,2,0,Private Citizens & Property
202012080011,2020-12-08,Pakistan,Tump,Unknown,3,0,Private Citizens & Property
202012070025,2020-12-07,Pakistan,Madina,Unknown,1,0,Journalists & Media
202012060027,2020-12-06,Pakistan,Mullazai,Unknown,0,2,Police
202012040003,2020-12-04,Pakistan,Rawalpindi,Unknown,1,7,Business
202012030015,2020-12-03,Pakistan,Kamoki,Unknown,1,0,Private Citizens & Property
202012020017,2020-12-02,Pakistan,Bannu district,Unknown,1,0,Police
202012010032,2020-12-01,Pakistan,Letai,Unknown,1,1,Private Citizens & Property
202012010031,2020-12-01,Pakistan,Letai,Unknown,1,0,Private Citizens & Property
202012010030,2020-12-01,Pakistan,Letai,Unknown,1,0,Private Citizens & Property
202011300009,2020-11-30,Pakistan,Miran Shah,Unknown,4,0,Private Citizens & Property
202011270011,2020-11-28,Pakistan,Lund Khwar,Unknown,0,0,Police
202011260020,2020-11-26,Pakistan,Taru Jabba,Tehrik-i-Taliban Pakistan (TTP),1,0,Police
202011260011,2020-11-26,Pakistan,Unknown,Unknown,0,1,Police
202011260008,2020-11-26,Pakistan,Mir Ali,Unknown,4,0,Business
202011240013,2020-11-24,Pakistan,Barki,Tehrik-i-Taliban Pakistan (TTP),1,0,Police
202011230007,2020-11-23,Pakistan,Pishin,Unknown,0,0,Unknown
202011220007,2020-11-22,Pakistan,Machh,Unknown,0,0,Transportation
202011210036,2020-11-21,Pakistan,Mahmood,Unknown,0,0,Terrorists/Non-state Militia
202011200013,2020-11-20,Pakistan,Nankana Sahib district,Unknown,1,3,Private Citizens & Property
202011180005,2020-11-18,Pakistan,Push Ziarat,Tehrik-i-Taliban Pakistan (TTP),2,1,Military
202011170009,2020-11-17,Pakistan,Shahkas,Unknown,1,1,Police
202011120037,2020-11-12,Pakistan,Khurachai,Unknown,1,0,Private Citizens & Property
202011120031,2020-11-12,Pakistan,Quetta,Baloch Liberation Army (BLA),0,6,Police
202011120025,2020-11-12,Pakistan,North Waziristan district,Unknown,4,0,Business
202011110024,2020-11-11,Pakistan,Tordher,Unknown,1,0,Educational Institution
202011090017,2020-11-09,Pakistan,Loai-Alizai,Unknown,1,0,Private Citizens & Property
