gtd_id,date,country,city,perpetrator_group,fatalities,injured,target_type,lat,lon
202012300015,2020-12-30,Pakistan,Hyderabad,Unknown,0,1,Police,25.396,68.3578
202012260007,2020-12-26,Pakistan,Panjgur,Unknown,2,6,Private Citizens & Property,26.9711,64.0972
202012230011,2020-12-23,Pakistan,Mir Ali,Unknown,3,17,Military,32.955,70.093
202012230010,2020-12-23,Pakistan,Sibi,Unknown,0,0,Government (General),29.5439,67.8772
202012220029,2020-12-22,Pakistan,Karachi,Sindhudesh Revolutionary Army (SRA),0,0,Private Citizens & Property,24.8607,67.0011
202012200018,2020-12-20,Pakistan,Peshawar,Unknown,1,0,Police,34.0151,71.5249
202012180015,2020-12-18,Pakistan,Quetta,Unknown,0,0,Military,30.1798,66.975
202012160010,2020-12-15,Pakistan,Karachi,Sindhudesh Revolutionary Army (SRA),0,0,Private Citizens & Property,24.8607,67.0011
202012150013,2020-12-15,Pakistan,Karachi,Sindhudesh Revolutionary Army (SRA),0,4,"Educational Institution,Military",24.8607,67.0011
202012130007,2020-12-13,Pakistan,Rawalpindi,Unknown,1,24,Private Citizens & Property,33.5651,73.0169
202012040003,2020-12-04,Pakistan,Rawalpindi,Unknown,1,7,Business,33.5651,73.0169
202011300009,2020-11-30,Pakistan,Miran Shah,Unknown,4,0,Private Citizens & Property,33.0,70.0667
202011260008,2020-11-26,Pakistan,Mir Ali,Unknown,4,0,Business,32.955,70.093
202011230007,2020-11-23,Pakistan,Pishin,Unknown,0,0,Unknown,30.5836,66.9958
202011120031,2020-11-12,Pakistan,Quetta,Baloch Liberation Army (BLA),0,6,Police,30.1798,66.975
202011080036,2020-11-08,Pakistan,Peshawar,Unknown,1,0,Private Citizens & Property,34.0151,71.5249
202010290009,2020-10-29,Pakistan,Miran Shah,Unknown,1,0,"Police,Private Citizens & Property",33.0,70.0667
202010270009,2020-10-27,Pakistan,Peshawar,Pakistan Province of the Islamic State,8,120,Educational Institution,34.0151,71.5249
202010200020,2020-10-20,Pakistan,Karachi,Unknown,0,6,Transportation,24.8607,67.0011
202010140016,2020-10-14,Pakistan,Quetta,Unknown,0,10,Business,30.1798,66.975
202010120017,2020-10-12,Pakistan,Mir Ali,Unknown,0,1,Military,32.955,70.093
202010100013,2020-10-10,Pakistan,Karachi,Unknown,2,0,Religious Figures/Institutions,24.8607,67.0011
202010080020,2020-10-08,Pakistan,Turbat,Unknown,1,0,Private Citizens & Property,26.0034,63.0459
202010050015,2020-10-05,Pakistan,Peshawar,Unknown,1,0,Educational Institution,34.0151,71.5249
202009270028,2020-09-27,Pakistan,Karachi,Unknown,0,2,Religious Figures/Institutions,24.8607,67.0011
202009270024,2020-09-27,Pakistan,Chaman,Unknown,0,1,"Private Citizens & Property,Police",30.9186,66.4597
202009210042,2020-09-21,Pakistan,Mir Ali,Unknown,1,0,Business,32.955,70.093
202009210041,2020-09-21,Pakistan,Kohlu,Unknown,0,0,Private Citizens & Property,29.8964,69.2539
202009180019,2020-09-18,Pakistan,Karachi,Tehrik-i-Taliban Pakistan (TTP),1,0,Police,24.8607,67.0011
202009120021,2020-09-12,Pakistan,Miran Shah,Unknown,1,0,Military,33.0,70.0667
202009040005,2020-09-04,Pakistan,Quetta,Unknown,0,4,"Religious Figures/Institutions,Military",30.1798,66.975
202008310013,2020-08-31,Pakistan,Karachi,Unknown,0,3,Business,24.8607,67.0011
202008310012,2020-08-31,Pakistan,Karachi,Unknown,0,2,Police,24.8607,67.0011
202008300008,2020-08-30,Pakistan,Mir Ali,Unknown,0,0,Government (General),32.955,70.093
202008180021,2020-08-18,Pakistan,Lahore,"Hizb-ul-Ahrar (HuA),Tehrik-i-Taliban Pakistan (TTP)",0,0,Police,31.5497,74.3436
202008130038,2020-08-13,Pakistan,Turbat,Unknown,1,0,Police,26.0034,63.0459
202008130031,2020-08-13,Pakistan,Karachi,Unknown,1,0,Police,24.8607,67.0011
202008130027,2020-08-13,Pakistan,Mastung,Unknown,0,5,Business,29.7986,66.8453
202008120027,2020-08-12,Pakistan,Quetta,Unknown,1,6,Business,30.1798,66.975
202008120021,2020-08-12,Pakistan,Peshawar,Unknown,1,0,Private Citizens & Property,34.0151,71.5249
202008110026,2020-08-11,Pakistan,Karachi,Sindhi nationalists (suspected),0,7,Private Citizens & Property,24.8607,67.0011
202008100024,2020-08-10,Pakistan,Jacobabad,Sindhudesh Revolutionary Army (SRA),0,0,Military,28.282,68.4374
202008100023,2020-08-10,Pakistan,Shikarpur,Sindhudesh Revolutionary Army (SRA),0,0,Military,27.9556,68.6382
202008100005,2020-08-10,Pakistan,Chaman,"Hizb-ul-Ahrar (HuA),Tehrik-i-Taliban Pakistan (TTP)",5,10,"Police,Private Citizens & Property",30.9186,66.4597
202008050007,2020-08-05,Pakistan,Karachi,Sindhudesh Revolutionary Army (SRA) (suspected),0,3,Business,24.8607,67.0011
202008050006,2020-08-05,Pakistan,Karachi,Sindhudesh Revolutionary Army (SRA),1,28,Private Citizens & Property,24.8607,67.0011
202007300018,2020-07-30,Pakistan,Karachi,Unknown,1,0,Police,24.8607,67.0011
